"REF_DATE","GEO","DGUID","Labour productivity measures and related variables","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-10","Canada","2016A000011124","Real gross domestic product (GDP)","Total economy","Index, 2012=100","348","units","0","v29509276","1.1.19","115.737","","","","3"
"2020-01","Canada","2016A000011124","Real gross domestic product (GDP)","Total economy","Index, 2012=100","348","units","0","v29509276","1.1.19","113.570","","","","3"
"2020-04","Canada","2016A000011124","Real gross domestic product (GDP)","Total economy","Index, 2012=100","348","units","0","v29509276","1.1.19","100.720","","","","3"
"2020-07","Canada","2016A000011124","Real gross domestic product (GDP)","Total economy","Index, 2012=100","348","units","0","v29509276","1.1.19","109.659","","","","3"
"2010-07","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","94.358","","","","3"
"2010-10","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","95.581","","","","3"
"2011-01","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","96.671","","","","3"
"2011-04","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","96.709","","","","3"
"2011-07","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","99.216","","","","3"
"2011-10","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","99.780","","","","3"
"2012-01","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","99.584","","","","3"
"2012-04","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","100.380","","","","3"
"2012-07","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","99.681","","","","3"
"2012-10","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","100.355","","","","3"
"2013-01","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","102.138","","","","3"
"2013-04","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","102.453","","","","3"
