"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Canada","2016A000011124","Labour force","Both sexes","15 years and over","Persons","249","thousands","3","v2461098","1.2.1.1","19812.8","","","","1"
"2018","Canada","2016A000011124","Labour force","Females","15 years and over","Persons","249","thousands","3","v2461518","1.2.3.1","9416.6","","","","1"


